Node	Time	IntradayPrice
1	1	3.8940000000000006
1	2	3.806
1	3	4.708000000000001
2	1	5.3020000000000005
2	2	3.9490000000000003
2	3	3.9490000000000003
3	1	5.599
3	2	11.143000000000002
3	3	13.211
4	1	15.851
4	2	23.342000000000002
4	3	23.793
5	1	23.111000000000004
5	2	23.1
5	3	23.078000000000003
6	1	23.573
6	2	21.769000000000002
6	3	19.822000000000003
7	1	11.143000000000002
7	2	13.211
7	3	15.851
8	1	23.342000000000002
8	2	23.793
8	3	23.111000000000004
9	1	23.1
9	2	23.078000000000003
9	3	23.573
10	1	21.769000000000002
10	2	19.822000000000003
10	3	11.143000000000002
11	1	13.211
11	2	15.851
11	3	23.342000000000002
12	1	23.793
12	2	23.111000000000004
12	3	23.1
13	1	23.078000000000003
13	2	23.573
13	3	21.769000000000002
14	1	19.822000000000003
14	2	11.143000000000002
14	3	13.211
15	1	15.851
15	2	23.342000000000002
15	3	23.793
16	1	23.111000000000004
16	2	23.1
16	3	23.078000000000003
17	1	23.573
17	2	21.769000000000002
17	3	19.822000000000003
18	1	11.143000000000002
18	2	13.211
18	3	15.851
19	1	23.342000000000002
19	2	23.793
19	3	23.111000000000004
20	1	23.1
20	2	23.078000000000003
20	3	23.573
